?"sku",fnsku,asin,amazon-store,sales-price,longest-side,median-side,shortest-side,length-and-girth,unit-of-dimension,item-package-weight,unit-of-weight
332583-20,X0048FBSPF,B0D3PMBVV1,US,26.99,5.43,5.35,4.61,25.35,inches,1.65,pounds
332583-10,X0048FBR6P,B0D3PCGMXM,US,22.99,5.12,4.76,4.29,23.22,inches,0.24,pounds
332583-35,X0048F7UG1,B0D3PLFYCQ,US,32.99,6.26,6.22,5.08,28.86,inches,2.76,pounds
HR-0001J,X0048F2XLX,B0BWDPZTF1,US,52.24,43.5,8,4.25,68,inches,12.75,pounds
HR-0002J,X0048EXVMT,B0BWDS5B79,US,59.99,56.5,8.75,4.2,82.4,inches,14.55,pounds
DDC-006,X0048D6M7L,B0D3L14RQX,US,49.99,39,13,10,85,inches,19.8,pounds
304866x4-J,X0047U8NE5,B0D2MMVCL4,US,30.99,7.44,7.36,3.7,29.56,inches,1.1,pounds
VSFW007,X0047HPSGT,B0D21MXJ2C,US,69.99,20.2,18.8,7.8,73.4,inches,21.15,pounds
VSFW008,X0047HN2M1,B0D228DNS8,US,39.99,17.36,13.27,7.01,57.92,inches,15.76,pounds
SFP-001,X0046M4IX9,B0CZ8H7N2M,US,22.79,7.32,7.28,2.44,26.76,inches,0.95,pounds
HHC-0001,X0046LWZOT,B0CZ8PQSD1,US,31.34,8.07,3.98,3.86,23.75,inches,1.08,pounds
332024J,X0046LUVW7,B0CZ85T6LW,US,23.99,3.82,3.66,2.56,16.26,inches,0.64,pounds
332023J-2,X0046LUUSH,B0CZ85T9RY,US,19.99,3.46,1.97,1.73,10.86,inches,0.22,pounds
LOUPE-007J,X0046LUM1R,B0CZ84CV6X,US,18.99,2.83,2.56,2.44,12.83,inches,0.44,pounds
VSE-ASH19,X0046GCNKP,B0CYZPJMJR,US,159.99,30,13.25,13,82.5,inches,14,pounds
HR-0002-2,X0046G8MUP,B0CYZ7QXL8,US,109.99,57.25,9,5,85.25,inches,26.1,pounds
HR-0003-2,X0046G649V,B0CYZCWS48,US,123.49,72.75,8.5,7,103.75,inches,32.8,pounds
HR-0001-2,X0046G4AGZ,B0CYZ2FHPX,US,81.21,42.5,8.5,7.5,74.5,inches,24.9,pounds
VSF-AWE9W,X0046B77IN,B0CYPLPSV2,US,53.99,11.73,11.38,7.4,49.29,inches,3.31,pounds
VSF-AWE9,X0046B4WEZ,B0CYPFLPML,US,53.99,11.46,11.42,7.28,48.86,inches,3.35,pounds
VSF-AWE9G,X0046B3KCP,B0CYPLM44V,US,52.19,11.2,11,7.3,47.8,inches,3.31,pounds
AWM-003,X0045U0PRZ,B0CXPHT5GC,US,56.99,9.21,6.26,3.9,29.53,inches,2.71,pounds
AWM-002,X0045U0POX,B0CXP9GK6Z,US,47.49,9.09,6.26,3.9,29.41,inches,1.92,pounds
DWC-0004,X0045GLB7H,B0CWSPDFNL,US,74.99,19,13,13,71,inches,14.4,pounds
CL-001J,X0045D1RPL,B0CWNDF8PY,US,15.99,12.64,4.92,3.9,30.28,inches,0.74,pounds
CL-002J,X0045CZXDT,B0CWN5D6GW,US,25.99,17.44,7.87,7.36,47.9,inches,1.9,pounds
VSF-R410-BL,X0045CUB1D,B0CWN3M47J,US,31.99,15.27,6.26,2.72,33.23,inches,2.09,pounds
DCC-005,X00459B9C1,B0CWGGF5GJ,US,69.99,37.5,9,9,73.5,inches,14.3,pounds
DCC-004,X00454FBGB,B0CW58R9FD,US,56.99,38.25,11,9,78.25,inches,16,pounds
332582-20,X0044G1LUF,B0CTTB445C,US,19.99,5.94,4.88,4.41,24.52,inches,1.39,pounds
VSN-CAMGIR32J,X00444BBU7,B0CT8BGPYP,US,26.99,7.4,5.12,2.2,22.04,inches,2.56,pounds
VSN-BJ32,X004446A67,B0CT88ZPG4,US,26.39,7.48,5.12,2.28,22.28,inches,2.45,pounds
VSN-NB32,X004444KK5,B0CT8MK3QX,US,30.39,7.32,5.16,2.28,22.2,inches,2.09,pounds
VSN-PHUDK32,X004442OTT,B0CT88YRZP,US,33.29,7.6,5.94,4.8,29.08,inches,5.05,pounds
VSN-BJ8,X004442NOZ,B0CT81RJB1,US,14.39,6.18,1.97,1.93,13.98,inches,0.62,pounds
VSN-NB8,X004442NMH,B0CT7VKWK5,US,15.99,6.18,1.85,1.73,13.34,inches,0.64,pounds
332578J,X0043UDZDN,B0CSPD8SND,US,39.99,7.17,7.17,6.46,34.43,inches,4.85,pounds
SPray-100L,X0043F0OU5,B0CRRFQFB5,US,39.59,25.19,7.31,7.25,54.31,inches,3.95,pounds
SPray-60L,X0043EW1K7,B0CRRDDRVG,US,29.69,18.9,7.1,7.1,47.3,inches,3.7,pounds
VSI-FFD2,X00438AUUB,B0CRDQ63HT,US,19.99,4.37,4.29,2.36,17.67,inches,0.31,pounds
VSV-WVK2,X00438AL9B,B0CRDP18Q6,US,35.99,17.6,7.91,7.72,48.86,inches,5.57,pounds
TGB-0001,X00430L21Z,B0CQZDPZ59,US,19.99,11.18,8.62,1.89,32.2,inches,1.54,pounds
TGB-0003,X00430KRST,B0CQZDX1F9,US,21.99,13.43,8.94,1.81,34.93,inches,1.34,pounds
PS-008,X00430IWW7,B0CQZBJDRJ,US,13.99,9.37,3.94,0.71,18.67,inches,0.26,pounds
SLE-002-6J,X00430IS0D,B0CQZ9V9RL,US,74.99,43,9.75,2.25,67,inches,31.4,pounds
PS-006,X00430FYTB,B0CQZD5F1D,US,15.99,10.55,3.54,1.26,20.15,inches,0.62,pounds
PS-009,X00430FWZR,B0CQZCGXRT,US,19.99,9.29,3.94,0.71,18.59,inches,0.18,pounds
TGB-0004,X00430C0PR,B0CQZH1R3F,US,32.99,13.5,9.29,2.99,38.06,inches,3.17,pounds
TGB-0002,X0043083M1,B0CQZD91H1,US,25.99,12.4,8.31,2.52,34.06,inches,2.6,pounds
PS-007,X0043061T3,B0CQZC7YL3,US,15.99,10.63,3.43,1.34,20.17,inches,0.64,pounds
RC-0004,X0042ZM25B,B0CQYD6HK5,US,20.39,12.83,7.6,6.46,40.95,inches,1.63,pounds
WPT-0001,X0042T21ZN,B0CQNMKPSR,US,17.09,17.01,12.76,2.44,47.41,inches,3.15,pounds
TR-0001,X0042SIYPF,B0CQMXPTW7,US,35.18,17.76,7.95,5.28,44.22,inches,4.37,pounds
TO-0002,X0042SI41J,B0CQMZLWHM,US,31.34,16.77,13.5,3.86,51.49,inches,8.88,pounds
332596J,X0042PQRV1,B0CQJG8YCH,US,79.99,12.76,7.2,6.65,40.46,inches,7.41,pounds
332595J,X0042PJL1T,B0CQJDT91K,US,75.99,12.8,7.17,6.69,40.52,inches,7.41,pounds
332597J,X0042PHW1Z,B0CQJCG61Q,US,84.99,12.64,7.36,6.69,40.74,inches,7.52,pounds
RC-0003,X0042L9QZJ,B0CQ7W5RZZ,US,8.99,11.3,6.42,2.09,28.32,inches,0.42,pounds
RC-0001-8,X0042KVAOF,B0CQ7TDJ9S,US,22.39,13.39,11.77,6.34,49.61,inches,2.6,pounds
HR-0000J,X0042BCFMZ,B0CPPFRJ4L,US,47.49,37,8,4,61,inches,10.8,pounds
HR-0000E,X0042B7XK9,B0CPP9JGGN,US,49.99,22.4,7.1,4.3,45.2,inches,6,pounds
HR-0000C,X0042B5LS5,B0CPP7L8QW,US,49.99,41,7,5,65,inches,8.86,pounds
HR-0001C,X0042AZP9B,B0CPP8JXXT,US,44.99,41.42,7.01,5.28,66,inches,9.8,pounds
HR-0003B,X0042AZNW5,B0CPP83W9B,US,119.99,70.6,10,5.5,101.6,inches,27.45,pounds
HR-0002C,X0042AWCNX,B0CPP79HMQ,US,69.99,48,6.5,5,71,inches,10.65,pounds
332563J,X004214KGT,B0CP7H9LS3,US,89.99,12.8,7.24,6.65,40.58,inches,7.52,pounds
WC-002,X0041ZUFKL,B0CP5QJC7C,US,99.99,26.75,14.2,11.05,77.25,inches,24.2,pounds
VSVC-AZS4,X0041ZPVOB,B0CP51TMWW,US,129.99,19,19,9,75,inches,14,pounds
VSVC-AZS8,X0041ZPUXD,B0CP531V4L,US,224.99,27,23.5,12.5,99,inches,32.15,pounds
VSVC-AZS6,X0041ZK64B,B0CP52SNYH,US,159.99,20.5,20.4,12.45,86.2,inches,19.65,pounds
RGB-0009,X0041RSVRX,B0CNVHWJ3T,US,79.99,41,14,3,75,inches,13.1,pounds
VSFL4300,X0041ODPGD,B0CNQS59G5,US,329.99,45,19,4.75,92.5,inches,16.7,pounds
NB-002J,X0041ODCS9,B0CNQNKHQQ,US,17.99,6.54,4.25,2.2,19.44,inches,1.34,pounds
VSFL3000,X0041O4FFX,B0CNQSQ8FF,US,329.99,44.75,18.1,4.75,90.45,inches,16.85,pounds
332562J,X0041N4QZN,B0CNPP4JFD,US,84.99,12.8,7.48,6.69,41.14,inches,7.43,pounds
