sku,fnsku,asin,amazon-store,your-price,sales-price,longest-side,median-side,shortest-side,length-and-girth,unit-of-dimension,item-package-weight,unit-of-weight,european_size_category,european_shipping_weight_g,european_country,fba_fee_2025年1月15日至2025年10月14日,fba_fee_2025年10月15日至2026年1月14日
311003-4X2NJ-EU,X0021P8V2T,B087CPSL1H,DE,11.99,11.99,23.8,9.4,1.6,45.8,centimeters,139.98,grams,标准信封,139.98,德国,2.57,2.57
311003-4X3NJ-EU,X0021P457T,B088GW8H4J,DE,12.99,12.99,21.7,8.4,4.1,46.7,centimeters,210.01,grams,超大号信封,210.01,德国,3.42,3.42
332021-2-EU,X0021OYWH3,B07VJDZHXG,DE,16.99,16.99,9.2,8,6.4,38,centimeters,170.01,grams,小包裹,170.01,德国,3.4,3.56
304113-P448-EU,X0021LAP13,B0CGHFFR4R,DE,229.99,229.99,125.3,33.1,18.6,228.7,centimeters,20520.02,grams,特大号大件,20520.02,德国,16.89,16.89
304113-P105-EU,X0021L6T2H,B0CGHJMJGT,DE,409.99,409.99,156.21,48.26,21.59,295.91,centimeters,41730,grams,特殊大件,41730,德国,47.98,47.98
304113-P276-EU,X0021L4TZV,B0CGHJ3F21,DE,159.99,159.99,85,32.4,18.6,187,centimeters,11260.02,grams,轻型标准大件,11260.02,德国,7.96,7.96
304113-P426-EU,X0021L2AV1,B0CGHKN4TV,DE,135.99,135.99,125.73,33.02,16.51,224.79,centimeters,15104.99,grams,特大号大件,15104.99,德国,14.94,14.94
304113-P224-EU,X0021KYJI9,B0CGHDFN7T,DE,139.99,139.99,66.04,33.02,16.51,165.1,centimeters,8323.01,grams,轻型标准大件,8323.01,德国,7.1,7.1
VS1000EX2-EU2,X00219PQF5,B09TVDLD5W,DE,119.99,119.99,34.6,32.79,15.6,131.38,centimeters,3769.99,grams,标准包裹,3769.99,德国,5.67,5.94
VSA150SE-EU,X002183ST7,B0BKPK5CKW,DE,159.99,159.99,41.2,34.59,8.61,127.61,centimeters,3130.01,grams,轻型标准大件,3130.01,德国,5.6,5.6
VS1000E-EU,X00217TFD1,B09F2MG2L8,DE,89.99,89.99,37.1,31.7,7.2,114.9,centimeters,2010,grams,标准包裹,2010,德国,5.2,5.44
