?"sku",fnsku,asin,amazon-store,fulfilled-by,your-price,sales-price,longest-side,median-side,shortest-side,length-and-girth,unit-of-dimension,item-package-weight,unit-of-weight,size_category_2024,shipping_weight_2024,size_category_2026,shipping_weight_2026,removal_fee_2026,multichannel_fee_standard,multichannel_fee_express,fba_fee_2025年01月15日至2025年10月14日_2024,fba_fee_2025年10月15日至2026年01月14日_2024,fba_fee_自2026年01月15日起_2026
332582J,X002CZQDOJ,B07ZR9ZMS7,US,Amazon,79.99,79.99,15.47,7.99,6.97,45.39,inches,7.78,pounds,大号标准尺寸,7.78,大号标准尺寸,7.78,9.02,15.1,17.44,8.45,8.99,8.76
306201PS-4,X002CQ7HOD,B07YZKWNG5,US,Amazon,99.99,99.99,17.8,17.8,9.7,72.8,inches,13.6,pounds,大号大件,22.11,小号大件,22.11,27.16,33.16,34.83,17.63,18.67,15.57
306201PS-6,X002CQ7ABD,B07YZLP1WY,US,Amazon,114.99,114.99,20,19.84,11.26,82.2,inches,22.4,pounds,大号大件,32.144,小号大件,32.144,37.79,40.74,42.41,21.44,22.48,19.38
306201PS-8,X002CQ77BV,B07YZLLR3M,US,Amazon,135.99,135.99,24.8,23.8,13,98.4,inches,32.2,pounds,"超大件((50,70]磅)",55.202,"超大件((50,70]磅)",55.202,62.23,66.88,71.97,43.27,46.08,40.47
306106-42J,X002CMUW03,B00T62BZWA,US,Amazon,6.99,6.99,7.68,5.12,1.02,19.96,inches,0.15,pounds,大号标准尺寸,0.289,大号标准尺寸,0.289,0.84,7.72,11.59,3.13,3.39,3.13
THM003J,X002CH6SKL,B07Z6F5S2M,US,Amazon,14.99,14.99,6.14,5.35,1.34,19.52,inches,0.57,pounds,大号标准尺寸,0.57,大号标准尺寸,0.57,1.53,8.61,11.81,4.15,4.43,4.2
DSpel002J,X002CH4QWD,B07Z69TCMK,US,Amazon,8.99,8.99,8,2.5,1.6,16.2,inches,0.25,pounds,大号标准尺寸,0.25,大号标准尺寸,0.25,0.84,7.56,10.88,2.91,3.15,2.91
Spray-SX-CS5J,X002BM62HL,B07Y82117Q,US,Amazon,30.59,30.59,17.32,12.09,7.36,56.22,inches,2.69,pounds,大号标准尺寸,11.088,大号标准尺寸,11.088,12.52,17.41,19.72,9.51,10.05,9.56
332023J,X002BEXBVT,B07XZ915VW,US,Amazon,12.99,12.99,3.78,1.93,0.94,9.52,inches,0.11,pounds,大号标准尺寸,0.11,大号标准尺寸,0.11,0.84,7.56,10.88,3.68,3.92,3.73
332573x2J,X002BESGSH,B07XYZZ2J7,US,Amazon,23.99,23.99,5.9,5.2,2.8,21.9,inches,1.41,pounds,大号标准尺寸,1.41,大号标准尺寸,1.41,2.27,10.64,13.45,5.37,5.68,5.42
311006-1x5J,X002B6MFX7,B07XL3PWBY,US,Amazon,12.99,12.99,8.5,6.38,2.17,25.6,inches,0.67,pounds,大号标准尺寸,0.847,大号标准尺寸,0.847,1.53,8.93,13.12,4.55,4.84,4.6
KS-001,X002AQX6NL,B07X651CRJ,US,Amazon,30.99,30.99,24,11,5.6,57.2,inches,7.25,pounds,大号大件,10.636,小号大件,10.636,14.99,24.56,26.23,13.27,14.31,11.21
TB-42,X002AKJNBV,B07WHXC7G2,US,Amazon,19.99,19.99,48.65,2.25,2.25,57.65,inches,1.5,pounds,大号大件,1.772,大号大件,1.772,4.3,18.25,19.95,9.9,10.94,9.64
306109-48C,X002AJMI9L,B07WW7CY9F,US,Amazon,14.99,14.99,6.34,5.12,4.84,26.26,inches,0.93,pounds,大号标准尺寸,1.13,大号标准尺寸,1.13,2.27,10.64,13.45,4.99,5.29,5.04
306109-8C,X002AJM7K1,B07WW4RRPX,US,Amazon,32.99,32.99,15,8.5,8.5,49,inches,4.9,pounds,大号大件,7.797,小号大件,7.797,10.04,22.43,24.1,12.19,13.23,10.13
306109-6C,X002AJM7JR,B07WT4VNC1,US,Amazon,26.99,26.99,16.54,6.81,6.54,43.24,inches,3.73,pounds,大号标准尺寸,5.3,大号标准尺寸,5.3,6.39,13.36,15.73,7.66,8.2,7.71
306109-68C,X002AINM2T,B07WT519SL,US,Amazon,18.99,18.99,6.93,6.85,5.75,32.13,inches,1.45,pounds,大号标准尺寸,1.964,大号标准尺寸,1.964,2.27,10.64,13.45,5.77,6.1,5.82
SN-2,X002AI7301,B07WGRYGDW,US,Amazon,7.99,7.99,11.5,10.94,3.66,40.7,inches,1.1,pounds,大号标准尺寸,3.313,大号标准尺寸,3.313,4.28,11.97,14.36,6.25,6.79,6.25
TB-44,X002A5MY0N,B07WGS2RF8,US,Amazon,24.99,24.99,48.5,2.2,2.2,57.3,inches,1.8,pounds,大号大件,1.8,大号大件,1.8,4.3,18.28,19.98,9.91,10.95,9.65
AqClean001J,X002A358ZD,B07WHW41BS,US,Amazon,14.99,14.99,16.61,6.02,2.64,33.93,inches,0.64,pounds,大号标准尺寸,1.899,大号标准尺寸,1.899,2.27,10.64,13.45,5.77,6.1,5.82
306104-62C,X002A34RA5,B07WD9KQ93,US,Amazon,34.99,34.99,13.89,13.43,6.57,53.89,inches,5.07,pounds,大号标准尺寸,8.817,大号标准尺寸,8.817,10.12,15.82,18.15,8.78,9.32,8.83
306104-42C,X0029ZV76B,B07WFDCYZL,US,Amazon,32.99,32.99,17.91,9.09,4.53,45.15,inches,3.46,pounds,大号标准尺寸,5.306,大号标准尺寸,5.306,6.39,13.36,15.73,7.66,8.2,7.71
Wheelspray-12LJ,X0029Y6BUT,B07W6CY544,US,Amazon,99.99,99.99,28.1,12.8,12.3,78.3,inches,10.7,pounds,大号大件,31.828,小号大件,31.828,37.46,40.5,42.17,21.32,22.36,19.26
WB-4x250,X0029LVJ7H,B07S5LNR6V,US,Amazon,99.99,99.99,48.3,9.5,9.5,86.3,inches,32.8,pounds,大号大件,32.8,大号大件,32.8,38.49,42.05,16.75,21.69,22.73,21.43
332021,X00296J9AV,B07VK287M6,US,Amazon,11.99,11.99,3.7,2.6,1.6,12.1,inches,0.2,pounds,大号标准尺寸,0.2,大号标准尺寸,0.2,0.84,7.56,10.88,3.68,3.92,3.73
332022-2,X00296J9AL,B07VK1LVN6,US,Amazon,14.99,14.99,3.58,3.23,2.76,15.56,inches,0.38,pounds,大号标准尺寸,0.38,大号标准尺寸,0.38,0.84,7.72,11.59,3.9,4.16,3.95
332021-2,X00295SBLP,B07VJDZHXG,US,Amazon,13.99,13.99,3.66,3.11,2.64,15.16,inches,0.4,pounds,大号标准尺寸,0.4,大号标准尺寸,0.4,0.84,7.72,11.59,3.9,4.16,3.95
332022,X00291BJTF,B07VK1LVKX,US,Amazon,10.99,10.99,3.58,2.56,1.54,11.78,inches,0.2,pounds,大号标准尺寸,0.2,大号标准尺寸,0.2,0.84,7.56,10.88,3.68,3.92,3.73
EBKspray-15L-OJ,X0028UPRL3,B07VBYY8SN,US,Amazon,90.24,90.24,24,16.25,8.5,73.5,inches,18.25,pounds,大号大件,23.849,小号大件,23.849,29,34.47,36.14,18.29,19.33,16.23
WB-3x100,X0028GWZSP,B07S61C2BM,US,Amazon,49.99,49.99,36.5,6.6,6.2,62.1,inches,10.3,pounds,大号大件,10.745,小号大件,10.745,15.11,24.64,26.31,13.31,14.35,11.25
WB-3x50,X0028F8LDJ,B07S72KGJ7,US,Amazon,27.99,27.99,14.13,12.95,6.1,52.23,inches,5.15,pounds,大号标准尺寸,8.03,大号标准尺寸,8.03,9.28,15.27,17.61,8.53,9.07,8.58
330120x4J,X0028018AH,B07TBDJV31,US,Amazon,15.99,15.99,9.37,4.13,1.73,21.09,inches,0.37,pounds,大号标准尺寸,0.482,大号标准尺寸,0.482,0.84,7.72,11.59,3.9,4.16,3.95
330120x2J,X00280185H,B07TDJ6H7Z,US,Amazon,9.99,9.99,8.27,3.7,0.98,17.63,inches,0.2,pounds,大号标准尺寸,0.216,大号标准尺寸,0.216,0.84,7.56,10.88,2.91,3.15,2.91
330120x1J,X0027WI6H9,B07T887H59,US,Amazon,7.99,7.99,5.47,3.54,0.87,14.29,inches,0.09,pounds,大号标准尺寸,0.121,大号标准尺寸,0.121,0.84,7.56,10.88,2.91,3.15,2.91
311001-100J,X0027JRJDJ,B07SQQQPYY,US,Amazon,17.09,17.09,12.2,9.17,3.15,36.84,inches,1.87,pounds,大号标准尺寸,2.535,大号标准尺寸,2.535,3.46,11.75,14.14,6.21,6.61,6.26
311001-45J,X0027HWPDP,B07SWYW8WX,US,Amazon,13.99,13.99,10.98,7.52,3.27,32.56,inches,1.04,pounds,大号标准尺寸,1.942,大号标准尺寸,1.942,2.27,10.64,13.45,5.77,6.1,5.82
311001-50J,X0027HWOAT,B07SVYP3V5,US,Amazon,15.99,15.99,10.35,7.91,3.7,33.57,inches,1.26,pounds,大号标准尺寸,2.179,大号标准尺寸,2.179,3.08,11.75,14.14,5.87,6.24,5.92
311011-3J,X0027D2P3J,B07SKTL43N,US,Amazon,18.99,18.99,10.75,10.31,2.28,35.93,inches,1.3,pounds,大号标准尺寸,1.818,大号标准尺寸,1.818,2.27,10.64,13.45,5.77,6.1,5.82
DSpel001J,X0027BRQDZ,B07SHBMBT4,US,Amazon,9.99,9.99,7.91,2.48,1.54,15.95,inches,0.22,pounds,大号标准尺寸,0.22,大号标准尺寸,0.22,0.84,7.56,10.88,2.91,3.15,2.91
311011-5J,X0027ACZPZ,B07SN2YSG5,US,Amazon,19.99,19.99,12.4,11.85,2.36,40.82,inches,1.72,pounds,大号标准尺寸,2.495,大号标准尺寸,2.495,3.41,11.75,14.14,6.05,6.44,6.1
311011-7J,X00279IFU5,B07SN2JKSZ,US,Amazon,20.99,20.99,13.15,12.76,2.09,42.85,inches,2.15,pounds,大号标准尺寸,2.523,大号标准尺寸,2.523,3.44,11.75,14.14,6.21,6.61,6.26
311011-10J,X00279IFTV,B07SJRBYGR,US,Amazon,23.99,23.99,14.5,14,3,48.5,inches,2,pounds,大号标准尺寸,4.381,大号标准尺寸,4.381,5.41,12.72,15.09,7.36,7.9,7.41
306201PVC-6J,X0027809B9,B07SG989NY,US,Amazon,99.99,99.99,20.25,20,11,82.25,inches,22.25,pounds,大号大件,32.05,小号大件,32.05,37.69,40.67,42.34,21.41,22.45,19.35
306201PVC-4J,X00273K3WT,B07SHB2WF9,US,Amazon,114.99,114.99,18,17.5,9.5,72,inches,14.75,pounds,大号大件,21.529,小号大件,21.529,26.54,32.73,34.4,17.41,18.45,15.35
332576J,X0026JN05V,B07RZKRM13,US,Amazon,17.99,17.99,4.53,3.9,3.82,19.97,inches,1.12,pounds,大号标准尺寸,1.12,大号标准尺寸,1.12,2.27,10.64,13.45,4.99,5.29,5.04
332574J,X0025VFUCV,B07RVHDZN1,US,Amazon,13.99,13.99,5.3,3.3,2.5,16.9,inches,0.71,pounds,大号标准尺寸,0.71,大号标准尺寸,0.71,1.53,8.61,11.81,4.15,4.43,4.2
WP-330,X00255WEKD,B07R7V1HJW,US,Amazon,47.49,47.49,9.06,7.83,6.02,36.76,inches,5.89,pounds,大号标准尺寸,5.89,大号标准尺寸,5.89,7.01,13.77,16.13,7.84,8.38,7.89
333101-G2J,X0024N8QPX,B07RBL1XJV,US,Amazon,23.99,23.99,7.56,7.24,2.44,26.93,inches,0.55,pounds,大号标准尺寸,0.961,大号标准尺寸,0.961,1.53,8.93,13.12,4.55,4.84,4.6
GP0001-6J,X0024JNEOP,B07R22S3B5,US,Amazon,22.49,22.49,13.9,12.1,6.1,50.3,inches,2.78,pounds,大号标准尺寸,7.381,大号标准尺寸,7.381,8.59,14.82,17.16,8.32,8.86,8.37
SPray-70LJ,X0024JFW0J,B07QQ3KYJC,US,Amazon,39.99,39.99,20.63,7.44,7.36,50.23,inches,3.68,pounds,大号大件,8.127,小号大件,8.127,10.04,22.68,24.35,12.32,13.36,10.26
306201PC-8,X0024ISJ91,B07R22CGJY,US,Amazon,179.99,179.99,37.5,12.75,12.5,88,inches,29.3,pounds,大号大件,42.997,大号大件,42.997,49.3,49.9,24.6,25.57,26.61,25.31
GP0001-4J,X0024HQIV3,B07QWNL67H,US,Amazon,17.99,17.99,16.18,8.31,4.49,41.78,inches,2.33,pounds,大号标准尺寸,4.343,大号标准尺寸,4.343,5.37,12.69,15.07,7.35,7.89,7.4
SPray-15L-RJ,X0024HI1GD,B07QSCTT31,US,Amazon,18.99,18.99,13.46,6.38,6.06,38.34,inches,1.01,pounds,大号标准尺寸,3.744,大号标准尺寸,3.744,4.74,12.27,14.65,7.16,7.7,7.21
SPray-80LJ,X0024GXC09,B07QVWQ1HC,US,Amazon,40.99,40.99,22,7,7,50,inches,3.9,pounds,大号大件,7.755,小号大件,7.755,10.04,22.4,24.07,12.18,13.22,10.12
SPray-08L-GJ,X0024GXAOR,B07QTHF9ZT,US,Amazon,17.99,17.99,12.32,6.3,5.75,36.42,inches,0.82,pounds,大号标准尺寸,3.211,大号标准尺寸,3.211,4.17,11.9,14.29,6.99,7.53,7.04
SPray-15L-GJ,X0024GXA97,B07QTHF3QK,US,Amazon,19.99,19.99,13.6,6.3,6.1,38.4,inches,1.04,pounds,大号标准尺寸,3.76,大号标准尺寸,3.76,4.76,12.28,14.66,7.16,7.7,7.21
SPray-08L-RJ,X0024GX9G1,B07QTHYLZV,US,Amazon,17.09,17.09,12.48,6.38,5.67,36.58,inches,0.79,pounds,大号标准尺寸,3.248,大号标准尺寸,3.248,4.21,11.92,14.31,7,7.54,7.05
SPray-30LJ,X0024G10XF,B07QTHHGZL,US,Amazon,24.99,24.99,14.53,7.4,7.24,43.81,inches,2.58,pounds,大号标准尺寸,5.6,大号标准尺寸,5.6,6.71,13.57,15.93,7.75,8.29,7.8
332573J,X0024B8FA1,B07QQX9C9H,US,Amazon,14.99,14.99,5.04,2.91,2.76,16.38,inches,0.68,pounds,大号标准尺寸,0.68,大号标准尺寸,0.68,1.53,8.61,11.81,4.15,4.43,4.2
306104-616J,X0023G2G43,B07PZKFZKF,US,Amazon,19.99,19.99,9.45,6.65,6.54,35.83,inches,1.81,pounds,大号标准尺寸,2.957,大号标准尺寸,2.957,3.9,11.75,14.14,6.62,7.03,6.67
E331904J,X0023DGCV9,B07NLXH9TT,US,Amazon,159.99,159.99,19.6,19.6,11.8,82.4,inches,15.6,pounds,大号大件,32.612,小号大件,32.612,38.29,41.09,42.76,21.62,22.66,19.56
DE0001J,X0022VUT4D,B07PHSCDFS,US,Amazon,54.99,54.99,14.13,8.98,6.65,45.39,inches,4.59,pounds,大号标准尺寸,6.071,大号标准尺寸,6.071,7.2,13.9,16.26,7.9,8.44,8.21
TF0002J,X00225Z54D,B07NRXNZBS,US,Amazon,13.99,13.99,5.24,5.2,2.6,20.84,inches,0.73,pounds,大号标准尺寸,0.73,大号标准尺寸,0.73,1.53,8.61,11.81,4.15,4.43,4.2
332572J,X001Z5JQOB,B07L54HB83,US,Amazon,24.99,24.99,7.44,4.49,4.33,25.08,inches,2.14,pounds,大号标准尺寸,2.14,大号标准尺寸,2.14,3.04,11.75,14.14,5.87,6.24,5.92
332967J,X001Z3A87H,B07L4FWW1F,US,Amazon,16.19,16.19,6.89,6.57,1.85,23.73,inches,3.99,pounds,大号标准尺寸,3.99,大号标准尺寸,3.99,5,12.44,14.82,7.24,7.78,7.29
311005-3J,X001Z2GBHT,B07L4Q3MVY,US,Amazon,29.99,29.99,17.13,7.4,7.36,46.65,inches,3.02,pounds,大号标准尺寸,6.712,大号标准尺寸,6.712,7.88,14.35,16.7,8.11,8.65,8.16
330102NJ,X001Z1P6U3,B00Y27FJ1C,US,Amazon,26.99,26.99,20.3,2.6,2.4,30.3,inches,1.35,pounds,大号大件,1.35,小号大件,1.35,4.3,17.59,19.26,9.74,10.78,7.68
330103NJ,X001Z1N8F3,B01EMXI6VA,US,Amazon,41.39,41.39,21.4,3.4,3.4,35,inches,3,pounds,大号大件,3,小号大件,3,6.36,18.83,20.5,10.37,11.41,8.31
330104NJ,X001Z0RJI1,B073PTZCJ4,US,Amazon,11.39,11.39,5.67,2.2,2.2,14.47,inches,0.38,pounds,大号标准尺寸,0.38,大号标准尺寸,0.38,0.84,7.72,11.59,3.9,4.16,3.95
330103CNJ,X001Z0D2H3,B074N2TTHP,US,Amazon,56.99,56.99,21.15,4.8,4.8,40.35,inches,3.7,pounds,大号大件,3.7,小号大件,3.7,6.36,19.35,21.02,10.64,11.68,8.58
330101CNJ,X001Z0D25Z,B016MKY7C8,US,Amazon,30.99,30.99,10.51,4.45,4.37,28.15,inches,1.61,pounds,大号标准尺寸,1.61,大号标准尺寸,1.61,2.27,10.64,13.45,5.52,5.84,5.57
330101x2NJ,X001YUGJ7J,B015PD8I7I,US,Amazon,23.79,23.79,10.47,3.27,3.23,23.47,inches,1.54,pounds,大号标准尺寸,1.54,大号标准尺寸,1.54,2.27,10.64,13.45,5.52,5.84,5.57
330101NJ,X001YUGJ3X,B00P7U259C,US,Amazon,13.49,13.49,10.43,2.32,2.32,19.71,inches,0.79,pounds,大号标准尺寸,0.79,大号标准尺寸,0.79,1.53,8.93,13.12,4.55,4.84,4.6
307281-2J,X001W3NE3P,B07H8G6PKX,US,Amazon,22.99,22.99,9.49,9.09,5.28,38.23,inches,2.29,pounds,大号标准尺寸,3.277,大号标准尺寸,3.277,4.24,11.94,14.33,7.01,7.55,7.06
330118NJ,X001V958HF,B015F4VFGI,US,Amazon,18.99,18.99,5,4.02,3.43,19.9,inches,0.82,pounds,大号标准尺寸,0.82,大号标准尺寸,0.82,1.53,8.93,13.12,4.55,4.84,4.6
306118J,X001UCPXVJ,B07FSGNR4F,US,Amazon,14.99,14.99,3.7,2.8,2.4,14.1,inches,0.25,pounds,大号标准尺寸,0.25,大号标准尺寸,0.25,0.84,7.56,10.88,3.68,3.92,3.73
332569J,X001U19ZD7,B07FK343K8,US,Amazon,104.99,104.99,13.25,9,8.75,48.74,inches,11.15,pounds,大号大件,11.15,小号大件,11.15,15.54,24.94,26.61,13.47,14.51,11.41
332567J,X001U19O8X,B07FJWM52K,US,Amazon,79.99,79.99,11.26,7.87,7.36,41.72,inches,6.75,pounds,大号标准尺寸,6.75,大号标准尺寸,6.75,7.93,14.38,16.73,8.12,8.66,8.43
332570J,X001U19KCX,B07FJZ55Y9,US,Amazon,147.99,159.99,13,10.4,10.2,54.2,inches,16.3,pounds,大号大件,16.3,小号大件,16.3,21,28.8,30.48,15.42,16.46,13.36
306104-482,X001U0X61Z,B07FKJNGSZ,US,Amazon,18.99,18.99,13.94,4.72,4.61,32.6,inches,1.47,pounds,大号标准尺寸,2.182,大号标准尺寸,2.182,3.08,11.75,14.14,5.87,6.24,5.92
332566J,X001U0UDY3,B07FJV5MWP,US,Amazon,63.99,72.99,10.98,7.76,7.68,41.86,inches,6.42,pounds,大号标准尺寸,6.42,大号标准尺寸,6.42,7.58,14.14,16.5,8.01,8.55,8.32
332568J,X001U0RM01,B07FFXXRCT,US,Amazon,89.99,89.99,13,8.4,8,45.8,inches,9.65,pounds,大号标准尺寸,9.65,大号标准尺寸,9.65,11,16.41,18.73,9.05,9.59,9.36
306104-68J,X001PQPWOD,B07B7HCHR2,US,Amazon,15.99,15.99,6.73,6.73,5.04,30.28,inches,1.06,pounds,大号标准尺寸,1.642,大号标准尺寸,1.642,2.27,10.64,13.45,5.52,5.84,5.57
306201PC-4,X001PMDE4H,B07B3RNW35,US,Amazon,86.99,86.99,29.3,10.2,9.4,68.5,inches,12.65,pounds,大号大件,20.211,小号大件,20.211,25.14,31.74,33.41,16.91,17.95,14.85
306104-48J,X001J5TTHV,B074FV367K,US,Amazon,13.99,13.99,7.01,4.57,4.49,25.13,inches,0.71,pounds,大号标准尺寸,1.035,大号标准尺寸,1.035,2.27,10.64,13.45,4.99,5.29,5.04
306143-0412J,X001GU51IZ,B01DXYMBU6,US,Amazon,39.99,39.99,13.66,7.83,7.72,44.76,inches,5.82,pounds,大号标准尺寸,5.94,大号标准尺寸,5.94,7.07,13.81,16.17,7.86,8.4,7.91
308105-25J,X001GJGL8Z,B0739ZSW17,US,Amazon,12.99,12.99,7.32,7.24,6.1,34,inches,0.71,pounds,大号标准尺寸,2.326,大号标准尺寸,2.326,3.24,11.75,14.14,6.05,6.44,6.1
311001-15x5NJ,X001F3MYOR,B00VWU37QG,US,Amazon,21.99,21.99,12.56,11.89,2.56,41.46,inches,2.78,pounds,大号标准尺寸,2.78,大号标准尺寸,2.78,3.72,11.75,14.14,6.62,7.03,6.67
311001-3x5NJ,X001F28TSD,B00TF9E4UO,US,Amazon,14.99,14.99,10.08,6.46,2.28,27.56,inches,1.1,pounds,大号标准尺寸,1.1,大号标准尺寸,1.1,2.27,10.64,13.45,4.99,5.29,5.04
311001-1x5NJ,X001F20MSD,B00UBLDSAW,US,Amazon,12.99,12.99,8.86,6.22,2.05,25.4,inches,0.64,pounds,大号标准尺寸,0.813,大号标准尺寸,0.813,1.53,8.93,13.12,4.55,4.84,4.6
311001-30x5NJ,X001F1PO69,B00VWU35F4,US,Amazon,28.99,28.99,15.86,11.77,3.62,46.64,inches,4.14,pounds,大号标准尺寸,4.862,大号标准尺寸,4.862,5.92,13.05,15.42,7.52,8.06,7.57
311001-25x5NJ,X001F1MWGJ,B00VWU30EK,US,Amazon,25.99,25.99,16.93,12.2,2.52,46.37,inches,3.7,pounds,大号标准尺寸,3.745,大号标准尺寸,3.745,4.74,12.27,14.65,7.16,7.7,7.21
311001-5x5NJ,X001F1MPD9,B00TF9E6XE,US,Amazon,15.99,15.99,9.8,7.36,3.07,30.66,inches,1.41,pounds,大号标准尺寸,1.593,大号标准尺寸,1.593,2.27,10.64,13.45,5.52,5.84,5.57
311001-10x5NJ,X001F1COM1,B00VWU30PO,US,Amazon,20.99,20.99,12.4,9.29,2.91,36.8,inches,2.09,pounds,大号标准尺寸,2.412,大号标准尺寸,2.412,3.33,11.75,14.14,6.05,6.44,6.1
311001-2x5NJ,X001F1C9FD,B00UBLDUBO,US,Amazon,13.99,13.99,8.66,6.02,1.89,24.48,inches,0.75,pounds,大号标准尺寸,0.75,大号标准尺寸,0.75,1.53,8.61,11.81,4.15,4.43,4.2
311001-7x5NJ,X001F11RLF,B00TF9E9PY,US,Amazon,17.99,17.99,10.59,8.94,2.6,33.67,inches,1.7,pounds,大号标准尺寸,1.771,大号标准尺寸,1.771,2.27,10.64,13.45,5.77,6.1,5.82
311001-20x5NJ,X001F11R3D,B00VWU2UDC,US,Amazon,23.99,23.99,16.73,12.13,2.87,46.73,inches,3.24,pounds,大号标准尺寸,4.19,大号标准尺寸,4.19,5.21,12.58,14.96,7.3,7.84,7.35
304113-32,X001EDFEYP,B0716BK1KD,US,Amazon,89.99,89.99,37.5,9.75,6,69,inches,16.25,pounds,大号大件,16.25,大号大件,16.25,20.95,29.4,31.1,15.4,16.45,15.14
311003-5J,X001DMUAPP,B06Y1XVD1P,US,Amazon,5.59,5.59,8.54,2.83,0.59,15.38,inches,0.13,pounds,小号标准尺寸,0.13,小号标准尺寸,0.13,0.84,7.34,10.7,2.38,2.57,2.49
305130-PEN,X001CXZH71,B06XKMH86J,US,Amazon,12.59,12.59,6.85,3.98,1.34,17.48,inches,0.46,pounds,大号标准尺寸,0.46,大号标准尺寸,0.46,0.84,7.72,11.59,3.9,4.16,3.95
307203F-44,X001CP0XDR,B06XFT6S43,US,Amazon,107.99,107.99,50.1,18.55,3.6,94.4,inches,15.5,pounds,大号大件,24.07,大号大件,24.07,29.23,35.42,37.12,18.38,19.42,18.12
332523J,X001C3FSP7,B06X6FT8MK,US,Amazon,19.99,19.99,9.06,9.02,1.5,30.1,inches,2.18,pounds,大号标准尺寸,2.18,大号标准尺寸,2.18,3.08,11.75,14.14,5.87,6.24,5.92
L000002-100*2J,X001C3FPNR,B01MV5C1I4,US,Amazon,9.99,9.99,5,4.25,2.05,17.6,inches,1.48,pounds,大号标准尺寸,1.48,大号标准尺寸,1.48,2.27,10.64,13.45,4.6,4.91,4.6
332521J,X001C2JOIP,B06W2JJSWV,US,Amazon,9.99,9.99,4.96,4.84,0.94,16.52,inches,0.44,pounds,大号标准尺寸,0.44,大号标准尺寸,0.44,0.84,7.72,11.59,3.13,3.39,3.13
332522J,X001C2JOIF,B06VV79ZTK,US,Amazon,14.99,14.99,5.59,5.59,1.14,19.06,inches,0.75,pounds,大号标准尺寸,0.75,大号标准尺寸,0.75,1.53,8.61,11.81,4.15,4.43,4.2
L000001-25J,X001B57HK5,B01MZ72PAH,US,Amazon,44.99,44.99,48.5,3.5,2.75,61,inches,5.95,pounds,大号大件,5.95,大号大件,5.95,10.04,21.47,23.17,11.49,12.53,11.23
L000001-10J,X001B1UVU7,B01N5MHXQD,US,Amazon,29.99,29.99,48.9,2.8,2.5,59.5,inches,3,pounds,大号大件,3,大号大件,3,6.36,19.2,20.9,10.37,11.41,10.11
L000001-100J,X001B1RMKJ,B01MZ72WG1,US,Amazon,97.99,97.99,50.5,5.25,5.25,71.5,inches,22.45,pounds,大号大件,22.45,大号大件,22.45,27.52,34.18,35.88,17.76,18.8,17.5
L000001-50J,X001B18LD1,B01N7P96NN,US,Amazon,60.99,60.99,48.5,3.5,3.5,62.5,inches,11.4,pounds,大号大件,11.4,大号大件,11.4,15.8,25.67,27.37,13.56,14.6,13.3
305131-PENJ,X001A9H2K7,B01M5IASHD,US,Amazon,7.19,7.19,6.54,2.13,1.22,13.24,inches,0.24,pounds,大号标准尺寸,0.24,大号标准尺寸,0.24,0.84,7.56,10.88,2.91,3.15,2.91
305132-PENJ,X0019ZB6SB,B01N2O1Z5B,US,Amazon,9.49,9.49,6.45,1.57,0.98,11.55,inches,0.13,pounds,大号标准尺寸,0.13,大号标准尺寸,0.13,0.84,7.56,10.88,2.91,3.15,2.91
308102J,X0019KIBO3,B018VI71GS,US,Amazon,32.99,32.99,32.5,7.5,2,51.5,inches,7.45,pounds,大号大件,7.45,小号大件,7.45,10.04,22.17,23.84,12.06,13.1,10
308122J,X0019IDL45,B018VI744C,US,Amazon,86.99,86.99,33,6.5,6.5,59,inches,28.7,pounds,大号大件,28.7,小号大件,28.7,34.14,38.1,39.77,20.14,21.18,18.08
308112J,X0019F1GRH,B018VI72S0,US,Amazon,52.99,52.99,33.5,7.75,3.25,55.5,inches,14.5,pounds,大号大件,14.5,小号大件,14.5,19.09,27.45,29.12,14.74,15.78,12.68
306101W-4J,X0018M0OF1,B01M7S46YZ,US,Amazon,29.99,29.99,8.11,7.64,6.97,37.33,inches,2.47,pounds,大号标准尺寸,3.107,大号标准尺寸,3.107,4.06,11.82,14.21,6.95,7.49,7
333101-GJ,X0018HO20T,B01M4K63LJ,US,Amazon,15.99,15.99,6.6,4.4,2.3,19.99,inches,0.3,pounds,大号标准尺寸,0.481,大号标准尺寸,0.481,0.84,7.72,11.59,3.9,4.16,3.95
311021-30x5J,X0015VGFFD,B01I1D9OT0,US,Amazon,28.99,28.99,15.83,11.97,3.11,45.99,inches,4.19,pounds,大号标准尺寸,4.24,大号标准尺寸,4.24,5.26,12.62,15,7.32,7.86,7.37
311021-5x5J,X0015UYMVN,B01I1D9OOU,US,Amazon,16.99,16.99,10.79,7.2,2.32,29.83,inches,1.41,pounds,大号标准尺寸,1.41,大号标准尺寸,1.41,2.27,10.64,13.45,5.37,5.68,5.42
311021-10x5J,X0015U9RQD,B01I1D9IF0,US,Amazon,20.99,20.99,12.36,9.29,2.64,36.22,inches,2.03,pounds,大号标准尺寸,2.181,大号标准尺寸,2.181,3.08,11.75,14.14,5.87,6.24,5.92
311021-15x5J,X0015U9RQ3,B01I1D9KFI,US,Amazon,22.99,22.99,13.27,11.54,2.95,42.25,inches,2.65,pounds,大号标准尺寸,3.25,大号标准尺寸,3.25,4.22,11.93,14.31,7,7.54,7.05
