?"sku",fnsku,asin,amazon-store,fulfilled-by,your-price,sales-price,longest-side,median-side,shortest-side,length-and-girth,unit-of-dimension,item-package-weight,unit-of-weight,size_category_2024,shipping_weight_2024,size_category_2026,shipping_weight_2026,removal_fee_2026,multichannel_fee_standard,multichannel_fee_express,fba_fee_2025年01月15日至2025年10月14日_2024,fba_fee_2025年10月15日至2026年01月14日_2024,fba_fee_自2026年01月15日起_2026
GH-0003,X002ITW1Z9,B088FK7RQS,US,Amazon,69.99,69.99,41,11.5,5.5,75,inches,21.5,pounds,大号大件,21.5,大号大件,21.5,26.51,33.45,35.14,17.4,18.44,17.14
GH-0005,X002ITV5B5,B088FKM5C8,US,Amazon,29.99,29.99,40.6,7.8,4,64.2,inches,10.05,pounds,大号大件,10.05,大号大件,10.05,14.37,24.63,26.33,13.05,14.09,12.79
GH-0004,X002ITCNN9,B088FK9ZVF,US,Amazon,39.99,39.99,40.3,8.1,4.5,65.5,inches,10.15,pounds,大号大件,10.568,大号大件,10.568,14.92,25.03,26.73,13.25,14.29,12.99
DT-001X2J,X002IPZGCN,B08889K4D2,US,Amazon,21.49,21.49,4.06,3.94,2.87,17.68,inches,0.66,pounds,大号标准尺寸,0.66,大号标准尺寸,0.66,1.53,8.61,11.81,4.15,4.43,4.2
DT-001J,X002IPZG1J,B0887SFLMR,US,Amazon,14.99,14.99,4.06,2.83,2.72,15.16,inches,0.35,pounds,大号标准尺寸,0.35,大号标准尺寸,0.35,0.84,7.72,11.59,3.9,4.16,3.95
311021-25x5NJ,X002IPI161,B0885SVNRQ,US,Amazon,25.99,25.99,16.89,12.68,2.99,48.23,inches,3.66,pounds,大号标准尺寸,4.607,大号标准尺寸,4.607,5.65,12.87,15.25,7.43,7.97,7.48
311021-2x5NJ,X002IPGYPB,B088666QZF,US,Amazon,13.99,13.99,8.7,5.75,2.17,24.54,inches,0.82,pounds,大号标准尺寸,0.82,大号标准尺寸,0.82,1.53,8.93,13.12,4.55,4.84,4.6
311021-20x5NJ,X002IOJYKT,B0885S2TDF,US,Amazon,25.99,25.99,16.45,10.83,3.82,45.75,inches,3.31,pounds,大号标准尺寸,4.896,大号标准尺寸,4.896,5.96,13.08,15.45,7.53,8.07,7.58
311021-1x5NJ,X002IOJYKJ,B08869D3HP,US,Amazon,12.99,12.99,9.21,5.75,1.93,24.57,inches,0.57,pounds,大号标准尺寸,0.735,大号标准尺寸,0.735,1.53,8.61,11.81,4.15,4.43,4.2
333101-BJ,X002IJR93D,B087TJGHWJ,US,Amazon,15.99,15.99,7.2,3.82,2.6,20.04,inches,0.33,pounds,大号标准尺寸,0.514,大号标准尺寸,0.514,1.53,8.61,11.81,4.15,4.43,4.2
311003-5X2NJ,X002ID12U5,B087CR7H9S,US,Amazon,9.99,9.99,9.61,3.78,0.67,18.51,inches,0.29,pounds,小号标准尺寸,0.29,小号标准尺寸,0.29,0.84,7.51,10.83,2.47,2.67,2.56
HD-59J,X002ICZQQH,B087CTWPXG,US,Amazon,59.99,59.99,16,11.25,8,54.5,inches,5.53,pounds,大号标准尺寸,10.36,大号标准尺寸,10.36,11.75,16.9,19.22,9.28,9.82,9.59
311003-4X2NJ,X002ICYT65,B087CPSL1H,US,Amazon,7.99,7.99,9.61,3.74,0.75,18.59,inches,0.29,pounds,小号标准尺寸,0.29,小号标准尺寸,0.29,0.84,7.51,10.83,2.47,2.67,2.56
306109-416J,X002IBTGCN,B087632ZS3,US,Amazon,19.99,19.99,14,4,4,30,inches,2.05,pounds,大号标准尺寸,2.05,大号标准尺寸,2.05,2.94,11.75,14.14,5.87,6.24,5.92
306104-416J,X002I93Z95,B0875SPZT4,US,Amazon,16.99,16.99,12.3,4.7,4.5,30.7,inches,1.65,pounds,大号标准尺寸,1.872,大号标准尺寸,1.872,2.27,10.64,13.45,5.77,6.1,5.82
TF0004N-J,X002I74C4J,B08724L8SS,US,Amazon,19.99,19.99,9.13,4.92,2.36,23.69,inches,1.28,pounds,大号标准尺寸,1.28,大号标准尺寸,1.28,2.27,10.64,13.45,5.37,5.68,5.42
